epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3396.66,1.13013,0.91092,0.99463,0.67238,0.21151,0.24838,0.11091,2.06544,2.24374,1.40292,0.005842,0.005842,0.005842
44,3474.17,1.11332,0.89119,0.9867,0.74671,0.22507,0.22712,0.09162,2.04455,2.31426,1.38997,0.005743,0.005743,0.005743
45,3552.02,1.11686,0.90222,0.98507,0.57439,0.25584,0.22045,0.10144,2.07236,2.32707,1.39787,0.005644,0.005644,0.005644
46,3630.23,1.10306,0.8622,0.97797,0.38093,0.21224,0.20132,0.08038,2.07886,2.42509,1.38219,0.005545,0.005545,0.005545
47,3710.29,1.09495,0.87909,0.9811,0.64735,0.22542,0.23777,0.10771,2.10582,2.37083,1.39913,0.005446,0.005446,0.005446
48,3790.34,1.10531,0.87934,0.98479,0.31557,0.25673,0.24613,0.0955,2.08945,2.37906,1.38262,0.005347,0.005347,0.005347
49,3870.29,1.09792,0.86414,0.97942,0.64882,0.2048,0.21231,0.09779,2.07638,2.40738,1.38636,0.005248,0.005248,0.005248
50,3950.93,1.0776,0.83499,0.97594,0.47379,0.20113,0.24233,0.10091,2.08616,2.33913,1.41654,0.005149,0.005149,0.005149
51,4032.15,1.07505,0.82924,0.96974,0.7064,0.20922,0.24051,0.10663,2.05106,2.3587,1.38663,0.00505,0.00505,0.00505
52,4111.9,1.0671,0.82007,0.96642,0.44922,0.26555,0.23965,0.10414,2.05936,2.3188,1.38345,0.004951,0.004951,0.004951
53,4192.28,1.05889,0.81542,0.96903,0.4192,0.23658,0.23351,0.11057,2.07258,2.38964,1.41342,0.004852,0.004852,0.004852
54,4272.6,1.06911,0.81388,0.96785,0.59295,0.2179,0.23701,0.09591,2.06557,2.33208,1.38522,0.004753,0.004753,0.004753
55,4353.73,1.06701,0.81336,0.96967,0.42941,0.23339,0.22522,0.10407,2.02917,2.34766,1.33832,0.004654,0.004654,0.004654
56,4434.54,1.05324,0.79387,0.96527,0.67898,0.19472,0.22802,0.10187,2.00059,2.36155,1.35264,0.004555,0.004555,0.004555
57,4514.55,1.0391,0.7868,0.96026,0.42237,0.21598,0.24035,0.09757,2.01404,2.41457,1.36621,0.004456,0.004456,0.004456
58,4594.2,1.04136,0.78208,0.96034,0.37119,0.24496,0.22727,0.09803,2.04852,2.45544,1.40067,0.004357,0.004357,0.004357
59,4674.45,1.04387,0.78243,0.95745,0.54145,0.23577,0.20754,0.10991,2.03167,2.45396,1.37188,0.004258,0.004258,0.004258
60,4755.11,1.03736,0.7813,0.95465,0.33506,0.31033,0.28098,0.12737,2.05007,2.41801,1.38662,0.004159,0.004159,0.004159
61,4834.08,1.02311,0.76324,0.94959,0.37713,0.29564,0.26819,0.107,2.04824,2.3753,1.38244,0.00406,0.00406,0.00406
62,4914.54,1.03154,0.77163,0.95889,0.64874,0.20082,0.27436,0.11501,2.01216,2.3945,1.36942,0.003961,0.003961,0.003961
63,4995.04,1.02387,0.74821,0.95049,0.7243,0.19603,0.22672,0.10724,2.05095,2.35454,1.39916,0.003862,0.003862,0.003862
64,5075.52,1.02259,0.74976,0.95224,0.31831,0.31312,0.27889,0.1161,1.99891,2.41932,1.39973,0.003763,0.003763,0.003763
65,5154.19,1.01228,0.73966,0.94807,0.6334,0.27186,0.28787,0.11954,2.04442,2.39837,1.40432,0.003664,0.003664,0.003664
66,5233.6,0.99949,0.73087,0.94236,0.68322,0.19238,0.22366,0.10365,2.07017,2.47895,1.39473,0.003565,0.003565,0.003565
67,5313.7,0.99831,0.7241,0.94216,0.72289,0.1804,0.21543,0.10195,2.03331,2.47257,1.3959,0.003466,0.003466,0.003466
68,5393.31,0.99255,0.71619,0.9392,0.6754,0.26688,0.27504,0.10617,2.0273,2.43312,1.39198,0.003367,0.003367,0.003367
69,5472.96,0.99037,0.70761,0.93226,0.53305,0.26203,0.24677,0.11185,2.05909,2.42335,1.41194,0.003268,0.003268,0.003268
70,5552.73,0.97498,0.70217,0.93533,0.3612,0.20556,0.21393,0.10502,2.04205,2.44921,1.40119,0.003169,0.003169,0.003169
71,5633.24,0.97298,0.693,0.92764,0.53151,0.18858,0.22235,0.10606,2.02455,2.4281,1.42526,0.00307,0.00307,0.00307
72,5713.29,0.97487,0.69583,0.92957,0.55842,0.25076,0.23333,0.09558,2.06728,2.46048,1.41757,0.002971,0.002971,0.002971
73,5793.11,0.97086,0.68775,0.93176,0.37859,0.27776,0.23073,0.10809,2.04112,2.46293,1.41963,0.002872,0.002872,0.002872
74,5872.63,0.96489,0.67466,0.9283,0.50929,0.28341,0.22946,0.10318,2.07174,2.48978,1.44057,0.002773,0.002773,0.002773
75,5952.62,0.95902,0.67095,0.92275,0.62857,0.25391,0.2253,0.0999,2.07171,2.44517,1.4379,0.002674,0.002674,0.002674
76,6032.57,0.96326,0.66832,0.92629,0.64003,0.25479,0.23524,0.10615,2.06999,2.46436,1.43671,0.002575,0.002575,0.002575
77,6112.84,0.95174,0.66507,0.92137,0.64027,0.2519,0.23472,0.10071,2.06574,2.4851,1.42493,0.002476,0.002476,0.002476
78,6192.87,0.95034,0.66065,0.92467,0.40254,0.27382,0.22858,0.1044,2.0695,2.47285,1.45576,0.002377,0.002377,0.002377
